Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A decision support method for product conceptual design considering product lifecycle factors and resource constraints,The International Journal of Advanced Manufacturing Technology,,52,09-dic,10.1007/s00170-010-2798-9,Jong-Ho ShinHong-Bae JunDimitris KiritsisPaul Xirouchakis,2011,http://link.springer.com/article/10.1007/s00170-010-2798-9,Article
"Innovative Product Advanced Service Systems (I-PASS): methodology, tools, and applications for dominant service design",The International Journal of Advanced Manufacturing Technology,,52,09-dic,10.1007/s00170-010-2763-7,Jay LeeMohamed AbuAli,2011,http://link.springer.com/article/10.1007/s00170-010-2763-7,Article
Smart Systems for Enhanced Integrity of Existing and Future Structures,MRS Online Proceedings Library,,888,1,10.1557/PROC-0888-V02-05,Christian Boller,2011,http://link.springer.com/article/10.1557/PROC-0888-V02-05,Article
A study of the bi-objective next release problem,Empirical Software Engineering,,16,1,10.1007/s10664-010-9147-3,Juan J. DurilloYuanyuan ZhangEnrique AlbaMark HarmanAntonio J. Nebro,2011,http://link.springer.com/article/10.1007/s10664-010-9147-3,Article
An uncertainty-based approach to drive product preliminary design,International Journal on Interactive Design and Manufacturing (IJIDeM),,5,1,10.1007/s12008-011-0116-x,Guilain CabannesNadège TroussierThierry GidelZohra Cherfi,2011,http://link.springer.com/article/10.1007/s12008-011-0116-x,Article
Establishing production service system and information collaboration platform for mold and die products,The International Journal of Advanced Manufacturing Technology,,52,09-dic,10.1007/s00170-010-2762-8,George Q. HuangT. QuR. Y. ZhongZ. LiH. D. YangY. F. ZhangQ. X. ChenP. Y. JiangX. Chen,2011,http://link.springer.com/article/10.1007/s00170-010-2762-8,Article
Weapons Materials,MRS Online Proceedings Library,,630,1,10.1557/PROC-630-GG2.2,Georges MicheelsXavier Gavage,2011,http://link.springer.com/article/10.1557/PROC-630-GG2.2,Article
Overview of boosting options for future downsized engines,Science China Technological Sciences,,54,2,10.1007/s11431-010-4272-1,Martinez-Botas RicardoPesiridis ApostolosMingYang Yang,2011,http://link.springer.com/article/10.1007/s11431-010-4272-1,Article
A survey on lean practices in Indian machine tool industries,The International Journal of Advanced Manufacturing Technology,,52,09-dic,10.1007/s00170-010-2788-y,M. EswaramoorthiG. R. KathiresanP. S. S. PrasadP. V. Mohanram,2011,http://link.springer.com/article/10.1007/s00170-010-2788-y,Article
Using integrated quality assessment for hotel service quality,Quality & Quantity,,45,2,10.1007/s11135-009-9301-4,Ching-Chow YangYung-Tsan JouLai-Yu Cheng,2011,http://link.springer.com/article/10.1007/s11135-009-9301-4,Article
"Personal, indoor, and outdoor exposure to VOCs in the immediate vicinity of a local airport",Environmental Monitoring and Assessment,,173,01-abr,10.1007/s10661-010-1404-9,Kyung-Hwa JungFrancisco ArtigasJin Young Shin,2011,http://link.springer.com/article/10.1007/s10661-010-1404-9,Article
An integrated fuzzy QFD framework for new product development,Flexible Services and Manufacturing Journal,,23,1,10.1007/s10696-011-9076-5,Amy H. I. LeeChun-Yu Lin,2011,http://link.springer.com/article/10.1007/s10696-011-9076-5,Article
Integration of Kano’s Model into quality function deployment (QFD),The International Journal of Advanced Manufacturing Technology,,53,05-ago,10.1007/s00170-010-2867-0,Ankur ChaudhaRajeev JainA. R. SinghP. K. Mishra,2011,http://link.springer.com/article/10.1007/s00170-010-2867-0,Article
Application of ECQFD for enabling environmentally conscious design and sustainable development in an electric vehicle,Clean Technologies and Environmental Policy,,13,2,10.1007/s10098-010-0317-1,S. VinodhGopinath Rathod,2011,http://link.springer.com/article/10.1007/s10098-010-0317-1,Article
Engineering change: an overview and perspective on the literature,Research in Engineering Design,,22,2,10.1007/s00163-010-0097-y,T. A. W. JarrattC. M. EckertN. H. M. CaldwellP. J. Clarkson,2011,http://link.springer.com/article/10.1007/s00163-010-0097-y,Article
Fuzzy Multi-Criteria Evaluation of Knowledge Management Tools,International Journal of Computational Intelligence Systems,,4,2,10.2991/ijcis.2011.4.2.7,Gülçin BüyüközkanOrhan FeyzioğluGizem Çifçi,2011,http://link.springer.com/article/10.2991/ijcis.2011.4.2.7,Article
Decision-aiding tools in innovative product development contexts,Research in Engineering Design,,22,2,10.1007/s00163-011-0103-z,Francesca Montagna,2011,http://link.springer.com/article/10.1007/s00163-011-0103-z,Article
Hyperbranched epoxy resins prepared by proton transfer polymerization from an A2 + B3 system,Chinese Journal of Polymer Science,,29,3,10.1007/s10118-011-1034-x,Li-jie MaHai-qiao WangLi-fan HeXiao-yu Li 李效玉,2011,http://link.springer.com/article/10.1007/s10118-011-1034-x,Article
"An assessment of benthic condition in several small watersheds of the Chesapeake Bay, USA",Environmental Monitoring and Assessment,,176,01-abr,10.1007/s10661-010-1599-9,Andrew K. LeightWard H. SlacumEd F. WirthMike H. Fulton,2011,http://link.springer.com/article/10.1007/s10661-010-1599-9,Article
A structure-based approach to evaluation product adaptability in adaptable design,Journal of Mechanical Science and Technology,,25,5,10.1007/s12206-011-0224-3,Qiang ChengGuojun ZhangZhifeng LiuPeihua GuLigang Cai,2011,http://link.springer.com/article/10.1007/s12206-011-0224-3,Article
Tools and techniques for enabling sustainability through lean initiatives,Clean Technologies and Environmental Policy,,13,3,10.1007/s10098-010-0329-x,S. VinodhK. R. ArvindM. Somanaathan,2011,http://link.springer.com/article/10.1007/s10098-010-0329-x,Article
Systems design and management of the digital operating room,International Journal of Computer Assisted Radiology and Surgery,,6,1,10.1007/s11548-011-0608-y,,2011,http://link.springer.com/article/10.1007/s11548-011-0608-y,Article
A Multi-Criteria Decision Making Approach for Machine Tool Selection Problem in a Fuzzy Environment,International Journal of Computational Intelligence Systems,,4,4,10.2991/ijcis.2011.4.4.3,Arzum ÖzgenGülfem TuzkayaUmut R. TuzkayaDoğan Özgen,2011,http://link.springer.com/article/10.2991/ijcis.2011.4.4.3,Article
Classification and selection of tools for quality knowledge management,Software Quality Journal,,19,2,10.1007/s11219-010-9121-8,Suzi HollandRay Dawson,2011,http://link.springer.com/article/10.1007/s11219-010-9121-8,Article
Integration of four-phase QFD and TRIZ in product R&D: a notebook case study,Research in Engineering Design,,22,3,10.1007/s00163-010-0099-9,C. H. YehJay C. Y. HuangC. K. Yu,2011,http://link.springer.com/article/10.1007/s00163-010-0099-9,Article
Design methodology for modular tools,Production Engineering,,5,4,10.1007/s11740-011-0318-x,Yann QueudevilleTodor IvanovUwe VroomenAndreas Bührig-PolaczekStefanie ElgetiMarkus ProbstMarek BehrChristian WindeckWalter MichaeliChristopher NussbaumChristian Hinke,2011,http://link.springer.com/article/10.1007/s11740-011-0318-x,Article
Multicriteria evidential reasoning decision modelling and analysis—prioritizing voices of customer,Journal of the Operational Research Society,,62,9,10.1057/jors.2010.118,J-B YangD-L XuX XieA K Maddulapalli,2011,http://link.springer.com/article/10.1057/jors.2010.118,Article
Prediction of reliability on thermoelectric module through accelerated life test and Physics-of-failure,Electronic Materials Letters,,7,3,10.1007/s13391-011-0917-x,Hyoung-Seuk ChoiWon-Seon SeoDuck-Kyun Choi,2011,http://link.springer.com/article/10.1007/s13391-011-0917-x,Article
Managing Software Requirements Changes Based on Negotiation-Style Revision,Journal of Computer Science and Technology,,26,5,10.1007/s11390-011-0187-y,Ke-Dian MuWeiru LiuZhi JinJun HongDavid Bell,2011,http://link.springer.com/article/10.1007/s11390-011-0187-y,Article
The customisation framework for roadmapping product-service integration,Service Business,,5,3,10.1007/s11628-011-0111-0,Youngjung GeumSungjoo LeeDaekook KangYongtae Park,2011,http://link.springer.com/article/10.1007/s11628-011-0111-0,Article
A design for environment methodology for evaluation and improvement of derivative consumer electronic product development,Journal of Systems Science and Systems Engineering,,20,3,10.1007/s11518-011-5168-8,Tzu-An ChiangZ. H. CheTung-Te Wang,2011,http://link.springer.com/article/10.1007/s11518-011-5168-8,Article
Modular design of a product to maximize customer satisfaction with respect to body size: A case study for designing office chair,International Journal of Precision Engineering and Manufacturing,,12,5,10.1007/s12541-011-0105-9,Sang-Chul HwangYoung Choi,2011,http://link.springer.com/article/10.1007/s12541-011-0105-9,Article
Automotive engineering curriculum development: case study for Clemson University,Journal of Intelligent Manufacturing,,22,5,10.1007/s10845-009-0329-z,Laine MearsMohammed OmarThomas R. Kurfess,2011,http://link.springer.com/article/10.1007/s10845-009-0329-z,Article
State of the art: business service and its impacts on manufacturing,Journal of Intelligent Manufacturing,,22,5,10.1007/s10845-009-0325-3,Xiaofei XuZhongjie Wang,2011,http://link.springer.com/article/10.1007/s10845-009-0325-3,Article
Organizational learning in automotive manufacturing: a strategic choice,Journal of Intelligent Manufacturing,,22,5,10.1007/s10845-009-0330-6,M. OmarL. MearsT. KurfessR. Kiggans,2011,http://link.springer.com/article/10.1007/s10845-009-0330-6,Article
A module-based thermal design approach for distributed product development,Research in Engineering Design,,22,4,10.1007/s00163-011-0113-x,Kenichi SekiHidekazu Nishimura,2011,http://link.springer.com/article/10.1007/s00163-011-0113-x,Article
A new loading-constraining device for mechanical testing with misalignment auto-compensation,Experimental Techniques,,35,6,10.1111/j.1747-1567.2010.00678.x,G. Olmi,2011,http://link.springer.com/article/10.1111/j.1747-1567.2010.00678.x,Article
Selection of products based on customer preferences applying fuzzy logic,International Journal on Interactive Design and Manufacturing (IJIDeM),,5,4,10.1007/s12008-011-0130-z,Marco BarajasBruno Agard,2011,http://link.springer.com/article/10.1007/s12008-011-0130-z,Article
An eco- and inno-product design system applying integrated and intelligent qfde and triz methodology,Journal of Systems Science and Systems Engineering,,20,4,10.1007/s11518-011-5176-8,Amy J. C. TrappeyJerry J. R. OuGilbert Y. P. LinMeng-Yu Chen,2011,http://link.springer.com/article/10.1007/s11518-011-5176-8,Article
Requirements Engineering for Product Service Systems,Business & Information Systems Engineering,,3,6,10.1007/s12599-011-0192-2,Dipl.-Inf. Marina BerkovichProf. Dr. Jan Marco LeimeisterProf. Dr. Helmut Krcmar,2011,http://link.springer.com/article/10.1007/s12599-011-0192-2,Article
Applying fuzzy quality function deployment to identify service management requirements for customer quality needs,Quality & Quantity,,44,1,10.1007/s11135-008-9178-7,Gin-Shuh Liang,2010,http://link.springer.com/article/10.1007/s11135-008-9178-7,Article
Performance improvement in new product development with effective tools and techniques adoption for high-tech industries,Quality & Quantity,,44,1,10.1007/s11135-008-9186-7,Tsu-Ming YehFan-Yun PaiChing-Chow Yang,2010,http://link.springer.com/article/10.1007/s11135-008-9186-7,Article
Submodules and direct summands,Journal of Mathematical Sciences,,164,1,10.1007/s10958-009-9749-8,A. N. AbyzovA. A. Tuganbaev,2010,http://link.springer.com/article/10.1007/s10958-009-9749-8,Article
Application of Analytic Network Process for the Design of Flexible Manufacturing Systems,Global Journal of Flexible Systems Management,,11,01-feb,10.1007/BF03396577,Rambabu KodaliG. Anand,2010,http://link.springer.com/article/10.1007/BF03396577,Article
Information privacy in institutional and end-user tracking and recording technologies,Personal and Ubiquitous Computing,,14,1,10.1007/s00779-009-0229-4,David H. NguyenGillian R. Hayes,2010,http://link.springer.com/article/10.1007/s00779-009-0229-4,Article
"Reliability principles, methodology and methods for lifetime design",Materials and Structures,,43,01-feb,10.1617/s11527-009-9486-y,Asko Sarja,2010,http://link.springer.com/article/10.1617/s11527-009-9486-y,Article
An integrated framework of HoQ and AHP for the QOE improvement of network-based ASP services,annals of telecommunications - annales des télécommunications,,65,01-feb,10.1007/s12243-009-0143-9,Dohoon Kim,2010,http://link.springer.com/article/10.1007/s12243-009-0143-9,Article
Fuzzy multi-linguistic preferences model of service innovations at wholesale service delivery,Quality & Quantity,,44,2,10.1007/s11135-008-9192-9,Ling-Zhong Lin,2010,http://link.springer.com/article/10.1007/s11135-008-9192-9,Article
Tourism LCA: state-of-the-art and perspectives,The International Journal of Life Cycle Assessment,,15,2,10.1007/s11367-009-0139-8,Camillo De CamillisAndrea RaggiLuigia Petti,2010,http://link.springer.com/article/10.1007/s11367-009-0139-8,Article
Greenhouse gas policy and California electricity prices,Journal of Regulatory Economics,,37,1,10.1007/s11149-009-9105-4,Carl Danner,2010,http://link.springer.com/article/10.1007/s11149-009-9105-4,Article
Colorectal and anal symptoms in women with urinary incontinence and pelvic organ prolapse,International Urogynecology Journal,,21,2,10.1007/s00192-009-1008-5,Khanh HaChristina DanczRebecca NelkenMayra ContrerasBegüm Özel,2010,http://link.springer.com/article/10.1007/s00192-009-1008-5,Article
Measuring organisational agility before and after implementation of TADS,The International Journal of Advanced Manufacturing Technology,,47,05-ago,10.1007/s00170-009-2212-7,S. VinodhG. SundararajS. R. Devadasan,2010,http://link.springer.com/article/10.1007/s00170-009-2212-7,Article
